sku,status,imageUrl,sourceImageUrl,reason
PL65621,updated,/products/parts/pl65621.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/8246/53756/AC09168__09220.1632232860.jpg?c=2,real-photo-found
80P30808-R,updated,/products/parts/80p30808-r.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/7044/25939/80P30809-r-1__56241.1530809919.jpg?c=2,real-photo-found
HD536KT,skipped,,,no-real-photo
450-16,updated,/products/parts/450-16.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/4466/57948/450-10__21382.1672352407.jpg?c=2,real-photo-found
21014D,skipped,,,no-real-photo
AC06950,updated,/products/parts/ac06950.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/8223/20917/AC06900__95999.1499958874.jpg?c=2,real-photo-found
VP00055,skipped,,,no-real-photo
30004410A,skipped,,,no-real-photo
SE44166,updated,/products/parts/se44166.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/12058/56597/44195-1__74126.1661791315.jpg?c=2,real-photo-found
LHDIW50,skipped,,,no-real-photo
KSK,updated,/products/parts/ksk.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/13355/26729/W290-0121__58495.1532452976.jpg?c=2,real-photo-found
820-38,updated,/products/parts/820-38.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/7379/52113/820-14-1__62566.1627497387.jpg?c=2,real-photo-found
W010-2185,skipped,,,no-real-photo
PL65740,updated,/products/parts/pl65740.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/8246/53756/AC09168__09220.1632232860.jpg?c=2,real-photo-found
W010-1777,skipped,,,no-real-photo
W175-0338,updated,/products/parts/w175-0338.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/41586/59611/W175-0347-01__14641.1681752022.jpg?c=2,real-photo-found
AC01222,skipped,,,no-real-photo
50-3122,updated,/products/parts/50-3122.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/5536/9367/50-3092-2__69565.1493919374.jpg?c=2,real-photo-found
W333-0022,updated,/products/parts/w333-0022.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/13270/22347/1__00632.1521554785.jpg?c=2,real-photo-found
W750-0424,updated,/products/parts/w750-0424.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/13927/35022/W750-0250__40866.1563478071.jpg?c=2,real-photo-found
W660-0143,updated,/products/parts/w660-0143.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/25210/57498/W660-0203-1__36945.1669669452.jpg?c=2,real-photo-found
J7551,updated,/products/parts/j7551.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/19392/59363/J7552-01__13027.1680625772.jpg?c=2,real-photo-found
J7288,updated,/products/parts/j7288.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/20942/35726/J4346-1__89038.1563983967.jpg?c=2,real-photo-found
7034-161,skipped,,,no-real-photo
35224,updated,/products/parts/35224.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/27870/65958/HTI-99-006-01__90957.1742308649.jpg?c=2,real-photo-found
LPK-ESC42ST,error,,,HTTP Error 404: Not Found
2033-027,updated,/products/parts/2033-027.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/14387/23445/2033-551__53398.1525968013.jpg?c=2,real-photo-found
PL70774,skipped,,,no-real-photo
34813,error,,,HTTP Error 404: Not Found
SRV4033-123,skipped,,,no-real-photo
W710-0098-SER,updated,/products/parts/w710-0098-ser.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/25151/57227/W710-0053-SER__76815.1667331398.jpg?c=2,real-photo-found
SRV7055-008,skipped,,,no-real-photo
J7217,updated,/products/parts/j7217.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/20538/63528/J7220-02__19150.1718381883.jpg?c=2,real-photo-found
2190067,updated,/products/parts/2190067.jpg,https://cdn11.bigcommerce.com/s-1r4c3e5sx1/images/stencil/500x500/products/12525/19201/SWC00301-2__24332.1493962944.jpg?c=2,real-photo-found
SRV4606-026,skipped,,,no-real-photo
